LFS1046,460711,167159,0.0387377
LFS1049,8654633,1445006,0.316833
LFS1076,2125453,446262,0.101518
LFS1099,12343902,1724300,0.382852
LFS1100,38071976,4410273,0.97123
LFS1102,34479801,4073908,0.893757
LFS1104,22858758,3014233,0.661497
LFS1108,18404441,2240060,0.498542
LFS1113,363806,82454,0.0188228
LFS1114,29976,9254,0.00219076
LFS1131,1213416,241381,0.0550344
LFS1302,1339840,291130,0.0653036
LFS1340,6261031,958385,0.215929
LFS1341,71252491,7648176,1.65689
LFS1344,254816,80737,0.0187574
LFS1345,3818264,565977,0.1287
LFS1348,9878436,1439101,0.322075
LFS1349,28006359,3313898,0.733294
LFS1350,13451608,1895671,0.417344
LFS1351,67479385,7607528,1.65288
LFS1352,15361829,2057516,0.454848
LFS1353,16899674,2285120,0.503458
LFS1354,5469306,854810,0.189909
LFS1355,26426494,3393163,0.741845
LFS1356,4285927,681473,0.151675
LFS1357,13816677,2033308,0.448316
LFS1358,904610,174190,0.0394878
LFS1359,24763419,3297916,0.721997
LFS1360,12760326,2036846,0.449947
LFS1361,1961420,404809,0.0903894
LFS1362,7894818,1267146,0.281123
LFS1363,1003884,232195,0.0527647
LFS1364,460762,108346,0.0246443
LFS1365,132162,34931,0.00818029
LFS1366,147536,41543,0.0096714
LFS1378,5531360,1131214,0.255525
LFS1379,7834222,1468660,0.330819
LFS1380,1887301,429816,0.0978707
LFS1381,1983100,362796,0.082085
LFS1382,16908236,2377547,0.520402
LFS1384,14325426,2081149,0.453347
LFS365,0,0,
LFS371,1495,994,0.000242523
LFS378,7934486,1255099,0.28594
LFS380,883471,221599,0.0497138
LFS385,62204,18909,0.00442604
LFS387,218348,63563,0.0147263
LFS388,45209,15867,0.00369526
LFS390,992184,241502,0.0548248
LFS391,19795,11307,0.00266094
LFS392,2062701,451113,0.10261
LFS393,273225,80516,0.0184911
LFS394,17877,12115,0.00284907
LFS396,8472,4446,0.00105733
LFS398,5938,3624,0.000876133
LFS399,80592,27293,0.00636272
LFS412,10596,3430,0.000802479
LFS417,424582,102269,0.0233127
LFS421,24833,8346,0.00194668
LFS427,1371778,323892,0.0736473
LFS428,415600,198468,0.0448761
LFS430,310225,78315,0.0172653
LFS431,105246,63502,0.0149241
LFS432,919443,261594,0.0588666
LFS433,31795921,3561993,0.78631
LFS434,140983,100087,0.02364
LFS435,221398,113446,0.0265268
LFS450,299050,89573,0.0202986
LFS470,3012341,556641,0.126269
LFS540,3317419,599372,0.131901
LFS561,32608704,4447066,0.967391
LFS909,19309369,2504190,0.553131
LFS946,1804525,363360,0.0830626
LFS962,36761661,4324247,0.94646
