lcl|scaffold_1
lcl|scaffold_2
lcl|scaffold_3
lcl|scaffold_4
lcl|scaffold_5
lcl|scaffold_6
lcl|scaffold_7
lcl|scaffold_8
lcl|scaffold_9
lcl|scaffold_10
lcl|scaffold_11
lcl|scaffold_12
lcl|scaffold_13
lcl|scaffold_14
lcl|scaffold_15
lcl|scaffold_16
lcl|scaffold_17
lcl|scaffold_18
lcl|scaffold_19
lcl|scaffold_20
lcl|scaffold_21
lcl|scaffold_22
lcl|scaffold_23
lcl|scaffold_24
lcl|scaffold_25
lcl|scaffold_26
lcl|scaffold_27
lcl|scaffold_28
lcl|scaffold_29
lcl|scaffold_30
lcl|scaffold_31
lcl|scaffold_32
lcl|scaffold_33
lcl|scaffold_34
lcl|scaffold_35
lcl|scaffold_36
