SampleID,Aligned,Dedup,Cov,fishid,year,WY,region,age,sub_grp_sr_100,sub_grp_sr_150,clust_name_100,clust_name_150,selection,Path
LFS371,1496,1004,2.44174e-4,LFS_0371,2011,2011,CBY,175,1,1,HS,HS,0,data/alt-polish/LFS371.sort.flt.bam
LFS378,7934579,1258455,0.286772,LFS_0378,2011,2011,SPB,141,1,NA,HS,NA,0,data/alt-polish/LFS378.sort.flt.bam
LFS380,883439,221999,0.0497781,LFS_0380,2011,2011,SPB,159,1,2,HS,MS,0,data/alt-polish/LFS380.sort.flt.bam
LFS385,62202,18633,0.00434491,LFS_0385,2011,2011,SPB,105,1,NA,HS,NA,0,data/alt-polish/LFS385.sort.flt.bam
LFS387,218334,63571,0.0147394,LFS_0387,2011,2011,SPB,123,1,NA,HS,NA,0,data/alt-polish/LFS387.sort.flt.bam
LFS388,45213,16003,0.0037296,LFS_0388,2011,2011,SPB,130,3,NA,LS,NA,0,data/alt-polish/LFS388.sort.flt.bam
LFS390,992188,241607,0.0548453,LFS_0390,2011,2011,SPB,146,1,NA,HS,NA,0,data/alt-polish/LFS390.sort.flt.bam
LFS391,19796,11295,0.00265119,LFS_0391,2011,2011,SPB,137,2,NA,MS,NA,0,data/alt-polish/LFS391.sort.flt.bam
LFS392,2062730,445673,0.101332,LFS_0392,2011,2011,SPB,158,3,3,LS,LS,0,data/alt-polish/LFS392.sort.flt.bam
LFS393,273220,80200,0.0183801,LFS_0393,2011,2011,SPB,127,2,NA,MS,NA,0,data/alt-polish/LFS393.sort.flt.bam
LFS394,17876,11939,0.00279589,LFS_0394,2011,2011,SPB,147,1,NA,HS,NA,0,data/alt-polish/LFS394.sort.flt.bam
LFS396,8474,4544,0.00108003,LFS_0396,2011,2011,SPB,139,2,NA,MS,NA,0,data/alt-polish/LFS396.sort.flt.bam
LFS398,5938,3597,8.67379e-4,LFS_0398,2011,2011,SPB,116,2,NA,MS,NA,0,data/alt-polish/LFS398.sort.flt.bam
LFS399,80595,27085,0.00631566,LFS_0399,2011,2011,SPB,118,2,NA,MS,NA,0,data/alt-polish/LFS399.sort.flt.bam
LFS412,10598,3410,7.94697e-4,LFS_0412,2011,2011,SUS,126,2,NA,MS,NA,0,data/alt-polish/LFS412.sort.flt.bam
LFS417,424599,102170,0.0233255,LFS_0417,2011,2011,SUS,139,2,NA,MS,NA,0,data/alt-polish/LFS417.sort.flt.bam
LFS421,24832,8218,0.00190945,LFS_0421,2011,2011,SUS,105,1,NA,HS,NA,0,data/alt-polish/LFS421.sort.flt.bam
LFS427,1371801,323360,0.0734341,LFS_0427,2011,2011,SPB,150,1,2,HS,MS,0,data/alt-polish/LFS427.sort.flt.bam
LFS428,415607,198397,0.044762,LFS_0428,2011,2011,SPB,143,2,NA,MS,NA,0,data/alt-polish/LFS428.sort.flt.bam
LFS430,310227,77683,0.0170675,LFS_0430,2011,2011,SPB,150,2,2,MS,MS,0,data/alt-polish/LFS430.sort.flt.bam
LFS431,105246,63795,0.0149756,LFS_0431,2011,2011,SPB,161,1,2,HS,MS,0,data/alt-polish/LFS431.sort.flt.bam
LFS432,919420,265152,0.0596696,LFS_0432,2011,2011,SPB,109,2,NA,MS,NA,0,data/alt-polish/LFS432.sort.flt.bam
LFS433,31796095,3549758,0.783377,LFS_0433,2011,2011,SPB,122,2,NA,MS,NA,0,data/alt-polish/LFS433.sort.flt.bam
LFS434,140978,100216,0.02368,LFS_0434,2011,2011,SPB,158,2,2,MS,MS,0,data/alt-polish/LFS434.sort.flt.bam
LFS435,221395,112014,0.0261798,LFS_0435,2011,2011,SPB,136,1,NA,HS,NA,0,data/alt-polish/LFS435.sort.flt.bam
LFS450,299042,89717,0.0203352,LFS_0450,2011,2011,CBY,211,1,1,HS,HS,0,data/alt-polish/LFS450.sort.flt.bam
LFS470,3012445,557025,0.126111,LFS_0470,2011,2011,CBY,187,1,2,HS,MS,0,data/alt-polish/LFS470.sort.flt.bam
LFS540,3317456,597566,0.131373,LFS_0540,2011,2011,CBY,229,1,2,HS,MS,0,data/alt-polish/LFS540.sort.flt.bam
LFS561,32608608,4448833,0.96756,LFS_0561,2011,2011,CBY,169,1,2,HS,MS,0,data/alt-polish/LFS561.sort.flt.bam
LFS909,19309535,2498516,0.551795,LFS_0909,2011,2011,ND,145,3,NA,LS,NA,0,data/alt-polish/LFS909.sort.flt.bam
LFS946,1804569,360769,0.0822172,LFS_0946,2011,2011,SPB,192,3,3,LS,LS,0,data/alt-polish/LFS946.sort.flt.bam
LFS962,36762024,4326180,0.945985,LFS_0962,2011,2011,SBY,170,3,3,LS,LS,0,data/alt-polish/LFS962.sort.flt.bam
